input_shape_1,input_shape_2,input_shape_3,input_shape_4,bfloat8,bfloat16,INPUTBUFFER0,INPUTBUFFER1,kernel_duration
1056,1024,0,0,1,0,0,1,32404
1056,1024,0,0,1,0,0,1,32436
832,1888,0,0,0,1,1,0,67469
832,1888,0,0,0,1,1,0,67615
832,1888,0,0,0,1,1,0,53961
832,1888,0,0,0,1,1,0,53653
832,1888,0,0,0,1,0,1,54512
832,1888,0,0,0,1,0,1,53578
832,1888,0,0,0,1,0,1,46261
832,1888,0,0,0,1,0,1,46154
832,1888,0,0,1,0,1,0,49700
832,1888,0,0,1,0,1,0,49253
832,1888,0,0,1,0,1,0,48279
832,1888,0,0,1,0,1,0,48358
832,1888,0,0,1,0,0,1,47942
832,1888,0,0,1,0,0,1,47862
832,1888,0,0,1,0,0,1,45296
832,1888,0,0,1,0,0,1,45249
1632,1728,0,0,0,1,1,0,82275
1632,1728,0,0,0,1,1,0,82384
1632,1728,0,0,0,1,1,0,82114
1632,1728,0,0,0,1,1,0,82045
1632,1728,0,0,0,1,0,1,82090
1632,1728,0,0,0,1,0,1,82144
1632,1728,0,0,0,1,0,1,82068
1632,1728,0,0,0,1,0,1,82061
1632,1728,0,0,1,0,1,0,81627
1632,1728,0,0,1,0,1,0,81816
1632,1728,0,0,1,0,1,0,81648
1632,1728,0,0,1,0,1,0,81593
1632,1728,0,0,1,0,0,1,81595
1632,1728,0,0,1,0,0,1,81585
1632,1728,0,0,1,0,0,1,81448
1632,1728,0,0,1,0,0,1,81418
640,1984,0,0,0,1,1,0,39474
640,1984,0,0,0,1,1,0,39345
640,1984,0,0,0,1,1,0,39007
640,1984,0,0,0,1,1,0,38933
640,1984,0,0,0,1,0,1,38927
640,1984,0,0,0,1,0,1,38988
640,1984,0,0,0,1,0,1,38531
640,1984,0,0,0,1,0,1,38488
640,1984,0,0,1,0,1,0,38400
640,1984,0,0,1,0,1,0,38350
640,1984,0,0,1,0,1,0,38149
640,1984,0,0,1,0,1,0,38175
640,1984,0,0,1,0,0,1,38189
640,1984,0,0,1,0,0,1,38119
640,1984,0,0,1,0,0,1,37964
640,1984,0,0,1,0,0,1,37944
992,736,0,0,0,1,1,0,24682
992,736,0,0,0,1,1,0,24446
992,736,0,0,0,1,1,0,24269
992,736,0,0,0,1,1,0,24265
992,736,0,0,0,1,0,1,24260
992,736,0,0,0,1,0,1,24135
992,736,0,0,0,1,0,1,23766
992,736,0,0,0,1,0,1,23796
992,736,0,0,1,0,1,0,23780
992,736,0,0,1,0,1,0,23806
992,736,0,0,1,0,1,0,23742
992,736,0,0,1,0,1,0,23597
992,736,0,0,1,0,0,1,23551
992,736,0,0,1,0,0,1,23589
992,736,0,0,1,0,0,1,23383
