m_size,k_size,n_size,num_cores,duration
640,32,32,10,1849.0
640,32,96,10,2448.0
640,32,192,10,3185.0
640,32,288,10,4600.0
640,32,384,10,5601.0
640,32,480,10,6641.0
640,32,576,10,7705.0
640,32,672,10,8719.0
640,32,768,10,9747.0
640,32,864,10,10792.0
640,96,32,10,2363.0
640,96,96,10,3759.0
640,96,192,10,5749.0
640,96,288,10,8974.0
640,96,384,10,11446.0
640,96,480,10,13847.0
640,96,576,10,16472.0
640,96,672,10,18847.0
640,96,768,10,21519.0
640,96,864,10,23688.0
640,192,32,10,3207.0
640,192,96,10,5767.0
640,192,192,10,9696.0
640,192,288,10,16111.0
640,192,384,10,20952.0
640,192,480,10,25848.0
640,192,576,10,30668.0
640,192,672,10,35569.0
640,192,768,10,40427.0
640,192,864,10,45323.0
640,288,32,10,3907.0
640,288,96,10,7891.0
640,288,192,10,13646.0
640,288,288,10,23295.0
640,288,384,10,30615.0
640,288,480,10,37910.0
640,288,576,10,45118.0
640,288,672,10,52396.0
640,288,768,10,59734.0
640,288,864,10,102133.0
640,384,32,10,4732.0
640,384,96,10,9898.0
640,384,192,10,17557.0
640,384,288,10,30489.0
640,384,384,10,40213.0
640,384,480,10,49758.0
640,384,576,10,59597.0
640,384,672,10,105479.0
640,480,32,10,5537.0
640,480,96,10,11958.0
640,480,192,10,21476.0
640,480,288,10,37745.0
640,480,384,10,49726.0
640,480,480,10,61808.0
640,576,32,10,6267.0
640,576,96,10,14017.0
640,576,192,10,25393.0
640,576,288,10,44961.0
640,576,384,10,59420.0
640,576,480,10,113034.0
640,672,32,10,7119.0
640,672,96,10,16072.0
640,672,192,10,29308.0
640,672,288,10,52123.0
640,768,32,10,7879.0
640,768,96,10,18165.0
640,768,192,10,33299.0
640,768,288,10,59030.0
640,864,32,10,8709.0
640,864,96,10,20183.0
640,864,192,10,37183.0
640,864,288,10,101797.0
960,32,32,10,1966.0
960,32,96,10,2572.0
960,32,192,10,3528.0
960,32,288,10,5540.0
960,32,384,10,6853.0
960,32,480,10,8293.0
960,32,576,10,9552.0
960,32,672,10,10907.0
960,32,768,10,12283.0
960,32,864,10,13533.0
960,96,32,10,2554.0
960,96,96,10,4162.0
960,96,192,10,6542.0
960,96,288,10,10757.0
960,96,384,10,13694.0
960,96,480,10,17239.0
960,96,576,10,19961.0
960,96,672,10,23073.0
960,96,768,10,26183.0
960,96,864,10,29693.0
960,192,32,10,3495.0
960,192,96,10,6594.0
960,192,192,10,11194.0
960,192,288,10,19740.0
960,192,384,10,25788.0
960,192,480,10,31875.0
960,192,576,10,37914.0
960,192,672,10,44000.0
960,192,768,10,50064.0
960,192,864,10,56125.0
960,288,32,10,4499.0
960,288,96,10,9078.0
960,288,192,10,15904.0
960,288,288,10,28669.0
960,288,384,10,37738.0
960,288,480,10,46882.0
960,288,576,10,55894.0
960,288,672,10,64604.0
960,384,32,10,5490.0
960,384,96,10,11556.0
960,384,192,10,20577.0
960,384,288,10,37599.0
960,384,384,10,49685.0
